zone_rank,cluster_id,accident_count,avg_severity,max_severity,center_lat,center_lng,lat_min,lat_max,lng_min,lng_max
42,213,186,2.005,3,30.24062135483871,-97.71903854301075,30.238429,30.243273,-97.72469,-97.716736
43,101,181,2.017,4,30.394608145690608,-97.86766934127071,30.393437,30.395072,-97.869939,-97.865287
44,2,176,2.017,4,30.200042795454547,-97.86578123295455,30.195289,30.201247,-97.870926,-97.859443
45,119,175,2.006,3,30.443119405714285,-97.83344827999998,30.435437,30.448112,-97.840125,-97.829987
46,134,173,2.029,3,30.214810903930637,-97.66248472387284,30.212165,30.218571,-97.669403,-97.657099
47,82,171,1.994,2,30.143177246065513,-97.83209935783293,30.140499,30.151156,-97.833221,-97.825735
48,197,169,2.0,3,30.183953201183435,-97.85034931952663,30.182381,30.187128,-97.853031,-97.847585
49,147,165,2.394,4,30.455866556007937,-97.66738229450698,30.453606,30.45997,-97.670029,-97.6662790770642
50,38,165,2.006,3,30.27346034721212,-97.79911832387879,30.27103,30.275345,-97.801979,-97.793671
51,277,159,2.013,4,30.455138056603772,-97.82598565408804,30.452341,30.455999,-97.828821,-97.824932
52,29,157,2.0,3,30.479737407006372,-97.80213925426752,30.477426,30.48056,-97.803505,-97.797964
53,114,154,2.006,3,30.304533590909088,-97.69933003896105,30.302428999999997,30.308455,-97.702906,-97.696004
54,241,152,1.993,2,30.460724927631578,-97.81846207894738,30.45677,30.46389000000001,-97.824379,-97.8106
55,174,151,1.993,3,30.368421701986758,-97.70678981456953,30.366541,30.372219,-97.713074,-97.702431
56,36,150,2.033,4,30.383959673313925,-97.76816919585426,30.381393,30.387506,-97.772669,-97.763593
57,235,148,1.986,3,30.29104188513514,-97.62900166216217,30.288469,30.294074,-97.632106,-97.627315
58,168,146,1.959,3,30.248431883561643,-97.58556345890412,30.24486,30.250421999999997,-97.590195,-97.581922
59,191,135,1.993,3,30.44908134074074,-97.7256074,30.447935,30.449762,-97.729057,-97.722346
60,69,132,2.0,2,30.397622287878793,-97.92878946969698,30.396053,30.399009999999997,-97.932739,-97.925148
61,50,129,2.039,3,30.34008615503876,-97.59105802325581,30.337871999999997,30.341345,-97.59404,-97.589424
62,107,126,1.992,2,30.425327495873017,-97.7147411497619,30.422987,30.427172,-97.718269,-97.712242
63,124,126,1.992,2,30.471596581190475,-97.7870858436508,30.46838,30.474669,-97.792526,-97.779694
64,491,124,1.984,2,30.255829370967742,-97.70261159677419,30.251053,30.260424,-97.707085,-97.699424
65,254,123,2.041,4,30.373734509973172,-97.78326682244835,30.367392,30.380109,-97.789496,-97.775531
66,404,122,2.025,4,30.233363493817325,-97.62685109398124,30.231599,30.238285,-97.627958,-97.623756
67,7,122,2.0,2,30.28210054839445,-97.65140309279438,30.278739,30.284389,-97.657856,-97.645508
68,118,122,1.984,2,30.2346435,-97.6972580819672,30.230049,30.239932,-97.700203,-97.692644
69,500,121,2.0,2,30.152147863777408,-97.76661320196226,30.150055,30.15357,-97.769417,-97.764786
70,310,115,2.0,2,30.180316704347828,-97.74858360869565,30.17918,30.181808,-97.75191,-97.746269
71,185,115,1.991,2,30.27738587826087,-97.63869773043479,30.275707,30.279292,-97.643852,-97.636276
72,439,113,2.027,3,30.23164742477876,-97.89993472566371,30.228959999999997,30.232727,-97.903381,-97.89431
73,192,113,2.009,3,30.20799059901598,-97.81559774246276,30.204999,30.211531,-97.818561,-97.814201
74,6,111,2.036,3,30.33654737837838,-97.80519377477478,30.332447,30.341242,-97.808069,-97.802596
75,189,110,2.0,3,30.394406699999998,-97.8452839909091,30.394148,30.395807,-97.845757,-97.844754
76,115,109,2.0,2,30.396745541284403,-97.7200874587156,30.395,30.400652,-97.721931,-97.718704
77,3,106,1.991,3,30.216872783018868,-97.79627798113208,30.213762,30.2208,-97.798576,-97.794052
78,150,104,2.019,3,30.392362971153847,-97.83690168269231,30.391814,30.393451,-97.843644,-97.830521
79,57,104,2.01,4,30.328633826923074,-97.71593385576922,30.323859999999996,30.332687,-97.718689,-97.71418
80,255,104,1.981,2,30.43599144230769,-97.68255419230769,30.434546,30.43757,-97.685583,-97.678798
